hora,metaf,aero,hora_formated
1654095600000,"METAF SBGR 011500Z 01002KT 9999       OVC026   23/16 Q1015=
",SBGR,"Wednesday, June 01, 2022 12:00:00"
1654099200000,"METAF SBGR 011600Z  21000KT 9999    RA  FEW030   23/17 Q1014=
",SBGR,"Wednesday, June 01, 2022 01:00:00"
1654102800000,"METAF SBGR 011700Z  10001KT 9999  -TSRA   FEW030CB 23/17 Q1014=
",SBGR,"Wednesday, June 01, 2022 02:00:00"
1654106400000,"METAF SBGR 011800Z  22003KT 9999  -TSRA   FEW030CB 23/17 Q1013=
",SBGR,"Wednesday, June 01, 2022 03:00:00"
1654110000000,"METAF SBGR 011900Z  22003KT CAVOK 24/16 Q1013=
",SBGR,"Wednesday, June 01, 2022 04:00:00"
1654113600000,"METAF SBGR 012000Z  19005KT 9999    RA  FEW028   22/17 Q1014=
",SBGR,"Wednesday, June 01, 2022 05:00:00"
1654117200000,"METAF SBGR 012100Z  15006KT 3000    RABR BKN013   19/17 Q1014=
",SBGR,"Wednesday, June 01, 2022 06:00:00"
1654120800000,"METAF SBGR 012200Z  15006KT 2000     BR OVC013   18/17 Q1015=
",SBGR,"Wednesday, June 01, 2022 07:00:00"
1654124400000,"METAF SBGR 012300Z  13004KT 1000     BR OVC027   18/17 Q1016=
",SBGR,"Wednesday, June 01, 2022 08:00:00"
1654041600000,"METAF SBKP 010000Z  12013KT 5000     BR BKN033   17/14 Q1015=
",SBKP,"Tuesday, May 31, 2022 09:00:00"
1654045200000,"METAF SBKP 010100Z  11014KT 6000       BKN033   17/14 Q1017=
",SBKP,"Tuesday, May 31, 2022 10:00:00"
1654048800000,"METAF SBKP 010200Z  11014KT 5000     BR BKN033   17/14 Q1016=
",SBKP,"Tuesday, May 31, 2022 11:00:00"
1654052400000,"METAF SBKP 010300Z  11014KT 4000     BR BKN033   17/14 Q1015=
",SBKP,"Wednesday, June 01, 2022 12:00:00"
1654056000000,"METAF SBKP 010400Z  11014KT 4000     BR BKN033   17/14 Q1015=
",SBKP,"Wednesday, June 01, 2022 01:00:00"
1654059600000,"METAF SBKP 010500Z  11012KT 4000     BR BKN033   17/15 Q1015=
",SBKP,"Wednesday, June 01, 2022 02:00:00"
1654063200000,"METAF SBKP 010600Z  11008KT 2000     BR BKN033   16/15 Q1014=
",SBKP,"Wednesday, June 01, 2022 03:00:00"
1654066800000,"METAF SBKP 010700Z  11008KT 2000     BR BKN033   16/15 Q1015=
",SBKP,"Wednesday, June 01, 2022 04:00:00"
1654070400000,"METAF SBKP 010800Z  11008KT 2000     BR BKN033   17/15 Q1015=
",SBKP,"Wednesday, June 01, 2022 05:00:00"
1654074000000,"METAF SBKP 010900Z  10008KT 2000     BR BKN033   17/15 Q1014=
",SBKP,"Wednesday, June 01, 2022 06:00:00"
1654077600000,"METAF SBKP 011000Z  10008KT 2000     BR BKN033   17/15 Q1015=
",SBKP,"Wednesday, June 01, 2022 07:00:00"
1654081200000,"METAF SBKP 011100Z  11008KT 3000     BR BKN033   17/15 Q1016=
",SBKP,"Wednesday, June 01, 2022 08:00:00"
1654084800000,"METAF SBKP 011200Z 08005KT 9000       SCT033   20/15 Q1015=
",SBKP,"Wednesday, June 01, 2022 09:00:00"
1654088400000,"METAF SBKP 011300Z 02004KT 9999       FEW033   22/15 Q1017=
",SBKP,"Wednesday, June 01, 2022 10:00:00"
1654092000000,"METAF SBKP 011400Z  34005KT CAVOK 24/15 Q1017=
",SBKP,"Wednesday, June 01, 2022 11:00:00"
1654095600000,"METAF SBKP 011500Z  33006KT CAVOK 25/15 Q1014=
",SBKP,"Wednesday, June 01, 2022 12:00:00"
1654099200000,"METAF SBKP 011600Z  32006KT CAVOK 26/15 Q1014=
",SBKP,"Wednesday, June 01, 2022 01:00:00"
1654102800000,"METAF SBKP 011700Z  29006KT CAVOK 27/15 Q1014=
",SBKP,"Wednesday, June 01, 2022 02:00:00"
1654106400000,"METAF SBKP 011800Z  28005KT CAVOK 28/14 Q1012=
",SBKP,"Wednesday, June 01, 2022 03:00:00"
1654110000000,"METAF SBKP 011900Z  25004KT CAVOK 28/15 Q1012=
",SBKP,"Wednesday, June 01, 2022 04:00:00"
1654113600000,"METAF SBKP 012000Z  20006KT CAVOK 26/16 Q1013=
",SBKP,"Wednesday, June 01, 2022 05:00:00"
1654117200000,"METAF SBKP 012100Z  19005KT CAVOK 25/16 Q1013=
",SBKP,"Wednesday, June 01, 2022 06:00:00"
1654120800000,"METAF SBKP 012200Z  15003KT CAVOK 24/16 Q1014=
",SBKP,"Wednesday, June 01, 2022 07:00:00"
1654124400000,"METAF SBKP 012300Z  14009KT CAVOK 23/16 Q1014=
",SBKP,"Wednesday, June 01, 2022 08:00:00"
1654041600000,"METAF SBSP 010000Z  13008KT 1000     BR OVC033   15/14 Q1018=
",SBSP,"Tuesday, May 31, 2022 09:00:00"
1654045200000,"METAF SBSP 010100Z  12007KT 1000     BR OVC033   15/14 Q1019=
",SBSP,"Tuesday, May 31, 2022 10:00:00"
1654048800000,"METAF SBSP 010200Z  13007KT 1000     BR OVC033   15/14 Q1018=
",SBSP,"Tuesday, May 31, 2022 11:00:00"
1654052400000,"METAF SBSP 010300Z  12007KT 1000     BR OVC033   15/14 Q1017=
",SBSP,"Wednesday, June 01, 2022 12:00:00"
1654056000000,"METAF SBSP 010400Z  12007KT 1000     BR OVC033   15/15 Q1017=
",SBSP,"Wednesday, June 01, 2022 01:00:00"
1654059600000,"METAF SBSP 010500Z  11006KT 1000     BR OVC033   16/15 Q1017=
",SBSP,"Wednesday, June 01, 2022 02:00:00"
1654063200000,"METAF SBSP 010600Z  13004KT 0700 FG     OVC033   16/15 Q1015=
",SBSP,"Wednesday, June 01, 2022 03:00:00"
1654066800000,"METAF SBSP 010700Z  14004KT 0700 FG     OVC033   16/15 Q1016=
",SBSP,"Wednesday, June 01, 2022 04:00:00"
1654070400000,"METAF SBSP 010800Z  13005KT 0650 FG     OVC033   16/16 Q1016=
",SBSP,"Wednesday, June 01, 2022 05:00:00"
1654074000000,"METAF SBSP 010900Z  14004KT 0600 FG     OVC033   16/16 Q1015=
",SBSP,"Wednesday, June 01, 2022 06:00:00"
1654077600000,"METAF SBSP 011000Z  12004KT 0700 FG     OVC033   16/16 Q1016=
",SBSP,"Wednesday, June 01, 2022 07:00:00"
1654081200000,"METAF SBSP 011100Z  13003KT 1000     BR OVC033   16/16 Q1017=
",SBSP,"Wednesday, June 01, 2022 08:00:00"
1654084800000,"METAF SBSP 011200Z  12002KT 2000     BR OVC033   17/16 Q1017=
",SBSP,"Wednesday, June 01, 2022 09:00:00"
1654088400000,"METAF SBSP 011300Z 07004KT 4000     BR OVC033   18/16 Q1018=
",SBSP,"Wednesday, June 01, 2022 10:00:00"
1654092000000,"METAF SBSP 011400Z 08003KT 7000       OVC033   19/16 Q1018=
",SBSP,"Wednesday, June 01, 2022 11:00:00"
1654095600000,"METAF SBSP 011500Z 08003KT 9999       OVC033   21/16 Q1015=
",SBSP,"Wednesday, June 01, 2022 12:00:00"
1654099200000,"METAF SBSP 011600Z  11002KT 9999       BKN033   22/16 Q1014=
",SBSP,"Wednesday, June 01, 2022 01:00:00"
1654102800000,"METAF SBSP 011700Z  14001KT 9999       OVC026   23/16 Q1015=
",SBSP,"Wednesday, June 01, 2022 02:00:00"
1654106400000,"METAF SBSP 011800Z  16004KT 9999  - RA  OVC020   22/17 Q1013=
",SBSP,"Wednesday, June 01, 2022 03:00:00"
1654110000000,"METAF SBSP 011900Z  17008KT 5000  - RABR OVC010   21/18 Q1014=
",SBSP,"Wednesday, June 01, 2022 04:00:00"
1654113600000,"METAF SBSP 012000Z  17007KT 4000     BR OVC033   20/18 Q1014=
",SBSP,"Wednesday, June 01, 2022 05:00:00"
1654117200000,"METAF SBSP 012100Z  17006KT 3000     BR OVC033   19/17 Q1014=
",SBSP,"Wednesday, June 01, 2022 06:00:00"
1654120800000,"METAF SBSP 012200Z  15004KT 3000     BR OVC033   19/17 Q1015=
",SBSP,"Wednesday, June 01, 2022 07:00:00"
1654124400000,"METAF SBSP 012300Z  14004KT 2000     BR OVC033   19/17 Q1016=
",SBSP,"Wednesday, June 01, 2022 08:00:00"
1654041600000,"METAF SBGL 010000Z  25002KT 3000     BR OVC033   23/21 Q1016=
",SBGL,"Tuesday, May 31, 2022 09:00:00"
1654045200000,"METAF SBGL 010100Z 02001KT 2000     BR OVC011   22/21 Q1017=
",SBGL,"Tuesday, May 31, 2022 10:00:00"
1654048800000,"METAF SBGL 010200Z 09000KT 2000     BR OVC011   22/21 Q1018=
",SBGL,"Tuesday, May 31, 2022 11:00:00"
1654052400000,"METAF SBGL 010300Z 09002KT 1000    RABR OVC033   22/21 Q1017=
",SBGL,"Wednesday, June 01, 2022 12:00:00"
1654056000000,"METAF SBGL 010400Z 07003KT 1000    RABR OVC033   22/21 Q1016=
",SBGL,"Wednesday, June 01, 2022 01:00:00"
1654059600000,"METAF SBGL 010500Z 09003KT 1000    RABR OVC033   22/21 Q1016=
",SBGL,"Wednesday, June 01, 2022 02:00:00"
1654063200000,"METAF SBGL 010600Z 05002KT 1000     BR OVC033   22/21 Q1014=
",SBGL,"Wednesday, June 01, 2022 03:00:00"
1654066800000,"METAF SBGL 010700Z 04004KT 1000     BR OVC033   21/21 Q1016=
",SBGL,"Wednesday, June 01, 2022 04:00:00"
1654070400000,"METAF SBGL 010800Z 02003KT 1000     BR OVC033   21/21 Q1016=
",SBGL,"Wednesday, June 01, 2022 05:00:00"
1654074000000,"METAF SBGL 010900Z 03005KT 1000     BR OVC011   21/21 Q1016=
",SBGL,"Wednesday, June 01, 2022 06:00:00"
1654077600000,"METAF SBGL 011000Z 04005KT 1000     BR OVC013   22/21 Q1017=
",SBGL,"Wednesday, June 01, 2022 07:00:00"
1654081200000,"METAF SBGL 011100Z 07003KT 2000     BR BKN033   22/20 Q1017=
",SBGL,"Wednesday, June 01, 2022 08:00:00"
1654084800000,"METAF SBGL 011200Z  15002KT 2000     BR BKN033   22/21 Q1017=
",SBGL,"Wednesday, June 01, 2022 09:00:00"
1654088400000,"METAF SBGL 011300Z  10002KT 4000     BR SCT014   23/20 Q1018=
",SBGL,"Wednesday, June 01, 2022 10:00:00"
1654092000000,"METAF SBGL 011400Z  11002KT 8000       FEW021   24/20 Q1017=
",SBGL,"Wednesday, June 01, 2022 11:00:00"
1654095600000,"METAF SBGL 011500Z  14002KT 9000       SCT033   25/20 Q1015=
",SBGL,"Wednesday, June 01, 2022 12:00:00"
1654099200000,"METAF SBGL 011600Z  15003KT 9999       SCT033   25/20 Q1013=
",SBGL,"Wednesday, June 01, 2022 01:00:00"
1654102800000,"METAF SBGL 011700Z  17005KT 9999       SCT033   26/20 Q1013=
",SBGL,"Wednesday, June 01, 2022 02:00:00"
1654106400000,"METAF SBGL 011800Z  15008KT 9999       SCT030   26/21 Q1013=
",SBGL,"Wednesday, June 01, 2022 03:00:00"
1654110000000,"METAF SBGL 011900Z  13009KT 9999       FEW033   26/21 Q1013=
",SBGL,"Wednesday, June 01, 2022 04:00:00"
1654113600000,"METAF SBGL 012000Z  12009KT 9000       SCT033   25/21 Q1013=
",SBGL,"Wednesday, June 01, 2022 05:00:00"
1654117200000,"METAF SBGL 012100Z 09008KT 8000       FEW033   25/21 Q1013=
",SBGL,"Wednesday, June 01, 2022 06:00:00"
1654120800000,"METAF SBGL 012200Z 09008KT 7000       FEW033   24/21 Q1014=
",SBGL,"Wednesday, June 01, 2022 07:00:00"
1654124400000,"METAF SBGL 012300Z 09007KT CAVOK 24/21 Q1014=
",SBGL,"Wednesday, June 01, 2022 08:00:00"
1654128000000,"METAF SBGL 020000Z  10005KT CAVOK 24/21 Q1014=
",SBGL,"Wednesday, June 01, 2022 09:00:00"
1654131600000,"METAF SBGL 020100Z  20003KT CAVOK 24/21 Q1014=
",SBGL,"Wednesday, June 01, 2022 10:00:00"
1654192800000,"METAF SBGL 021800Z  20012KT 7000       OVC019   25/21 Q1014=
",SBGL,"Thursday, June 02, 2022 03:00:00"
1654196400000,"METAF SBGL 021900Z  20012KT 7000       OVC033   24/21 Q1014=
",SBGL,"Thursday, June 02, 2022 04:00:00"
1654200000000,"METAF SBGL 022000Z  20011KT 6000       OVC015   24/21 Q1015=
",SBGL,"Thursday, June 02, 2022 05:00:00"
1654203600000,"METAF SBGL 022100Z  21008KT 5000     BR OVC014   23/20 Q1016=
",SBGL,"Thursday, June 02, 2022 06:00:00"
1654207200000,"METAF SBGL 022200Z  22007KT 5000     BR OVC013   23/20 Q1016=
",SBGL,"Thursday, June 02, 2022 07:00:00"
1654210800000,"METAF SBGL 022300Z  23006KT 5000     BR OVC012   23/20 Q1017=
",SBGL,"Thursday, June 02, 2022 08:00:00"
1654214400000,"METAF SBGL 030000Z  26006KT 7000       OVC033   22/19 Q1018=
",SBGL,"Thursday, June 02, 2022 09:00:00"
1654218000000,"METAF SBGL 030100Z  26005KT 7000       OVC033   22/19 Q1018=
",SBGL,"Thursday, June 02, 2022 10:00:00"
1654221600000,"METAF SBGL 030200Z  29005KT 6000       BKN033   22/18 Q1017=
",SBGL,"Thursday, June 02, 2022 11:00:00"
1654225200000,"METAF SBGL 030300Z  28006KT 6000       BKN033   22/18 Q1017=
",SBGL,"Friday, June 03, 2022 12:00:00"
1654228800000,"METAF SBGL 030400Z  28007KT 6000       BKN033   21/18 Q1017=
",SBGL,"Friday, June 03, 2022 01:00:00"
1654232400000,"METAF SBGL 030500Z  29006KT 5000     BR BKN033   21/18 Q1016=
",SBGL,"Friday, June 03, 2022 02:00:00"
1654236000000,"METAF SBGL 030600Z  28005KT 4000     BR BKN033   21/18 Q1016=
",SBGL,"Friday, June 03, 2022 03:00:00"
1654239600000,"METAF SBGL 030700Z  26006KT 4000     BR OVC033   21/18 Q1016=
",SBGL,"Friday, June 03, 2022 04:00:00"
1654243200000,"METAF SBGL 030800Z  28006KT 3000     BR OVC033   20/18 Q1017=
",SBGL,"Friday, June 03, 2022 05:00:00"
1654246800000,"METAF SBGL 030900Z  28005KT 3000     BR OVC033   20/18 Q1017=
",SBGL,"Friday, June 03, 2022 06:00:00"
1654250400000,"METAF SBGL 031000Z  30006KT 3000     BR OVC033   20/18 Q1018=
",SBGL,"Friday, June 03, 2022 07:00:00"
1654254000000,"METAF SBGL 031100Z  30006KT 5000     BR OVC033   21/18 Q1019=
",SBGL,"Friday, June 03, 2022 08:00:00"
1654257600000,"METAF SBGL 031200Z  27004KT 6000       OVC033   21/18 Q1019=
",SBGL,"Friday, June 03, 2022 09:00:00"
1654261200000,"METAF SBGL 031300Z  27004KT 7000       OVC033   22/18 Q1019=
",SBGL,"Friday, June 03, 2022 10:00:00"
1654264800000,"METAF SBGL 031400Z  25004KT 8000       OVC033   22/19 Q1019=
",SBGL,"Friday, June 03, 2022 11:00:00"
1654268400000,"METAF SBGL 031500Z  22005KT 7000       OVC033   23/19 Q1019=
",SBGL,"Friday, June 03, 2022 12:00:00"
1654272000000,"METAF SBGL 031600Z  22004KT 7000       OVC033   23/19 Q1018=
",SBGL,"Friday, June 03, 2022 01:00:00"
1654275600000,"METAF SBGL 031700Z  22005KT 8000       OVC033   23/19 Q1018=
",SBGL,"Friday, June 03, 2022 02:00:00"
1654279200000,"METAF SBGL 031800Z  23004KT 8000       OVC025   23/19 Q1017=
",SBGL,"Friday, June 03, 2022 03:00:00"
1654282800000,"METAF SBGL 031900Z  23005KT 9999       OVC027   23/19 Q1017=
",SBGL,"Friday, June 03, 2022 04:00:00"
1654286400000,"METAF SBGL 032000Z  24006KT 9999       BKN027   23/18 Q1018=
",SBGL,"Friday, June 03, 2022 05:00:00"
1654290000000,"METAF SBGL 032100Z  25006KT 9999       BKN023   23/18 Q1018=
",SBGL,"Friday, June 03, 2022 06:00:00"
1654293600000,"METAF SBGL 032200Z  27004KT 9000       OVC020   22/18 Q1019=
",SBGL,"Friday, June 03, 2022 07:00:00"
1654297200000,"METAF SBGL 032300Z  25002KT 6000       OVC019   21/18 Q1020=
",SBGL,"Friday, June 03, 2022 08:00:00"
1654300800000,"METAF SBGL 040000Z  13002KT 3000     BR OVC033   21/19 Q1020=
",SBGL,"Friday, June 03, 2022 09:00:00"
1654304400000,"METAF SBGL 040100Z  13007KT 3000    RABR OVC033   21/19 Q1021=
",SBGL,"Friday, June 03, 2022 10:00:00"
1654538400000,"METAF SBGL 061800Z  17003KT CAVOK 24/16 Q1012=
",SBGL,"Monday, June 06, 2022 03:00:00"
1654542000000,"METAF SBGL 061900Z  15005KT CAVOK 25/16 Q1013=
",SBGL,"Monday, June 06, 2022 04:00:00"
1654545600000,"METAF SBGL 062000Z  17006KT CAVOK 24/17 Q1016=
",SBGL,"Monday, June 06, 2022 05:00:00"
1654549200000,"METAF SBGL 062100Z  13005KT CAVOK 24/17 Q1013=
",SBGL,"Monday, June 06, 2022 06:00:00"
1654552800000,"METAF SBGL 062200Z  11005KT CAVOK 24/17 Q1014=
",SBGL,"Monday, June 06, 2022 07:00:00"
1654556400000,"METAF SBGL 062300Z 07002KT CAVOK 23/17 Q1015=
",SBGL,"Monday, June 06, 2022 08:00:00"
1654560000000,"METAF SBGL 070000Z  14004KT CAVOK 23/16 Q1014=
",SBGL,"Monday, June 06, 2022 09:00:00"
1654563600000,"METAF SBGL 070100Z  13004KT CAVOK 22/16 Q1014=
",SBGL,"Monday, June 06, 2022 10:00:00"
1654567200000,"METAF SBGL 070200Z  11003KT CAVOK 22/16 Q1017=
",SBGL,"Monday, June 06, 2022 11:00:00"
1654570800000,"METAF SBGL 070300Z 07004KT CAVOK 22/15 Q1013=
",SBGL,"Tuesday, June 07, 2022 12:00:00"
1654574400000,"METAF SBGL 070400Z 06002KT CAVOK 22/15 Q1013=
",SBGL,"Tuesday, June 07, 2022 01:00:00"
1654578000000,"METAF SBGL 070500Z  24001KT CAVOK 23/15 Q1013=
",SBGL,"Tuesday, June 07, 2022 02:00:00"
1654581600000,"METAF SBGL 070600Z  23005KT CAVOK 21/14 Q1010=
",SBGL,"Tuesday, June 07, 2022 03:00:00"
1654585200000,"METAF SBGL 070700Z  18004KT CAVOK 21/14 Q1011=
",SBGL,"Tuesday, June 07, 2022 04:00:00"
1654588800000,"METAF SBGL 070800Z  18004KT CAVOK 21/15 Q1014=
",SBGL,"Tuesday, June 07, 2022 05:00:00"
1654592400000,"METAF SBGL 070900Z  16002KT CAVOK 21/15 Q1012=
",SBGL,"Tuesday, June 07, 2022 06:00:00"
1654596000000,"METAF SBGL 071000Z  35001KT CAVOK 21/15 Q1013=
",SBGL,"Tuesday, June 07, 2022 07:00:00"
1654599600000,"METAF SBGL 071100Z  28001KT CAVOK 22/15 Q1015=
",SBGL,"Tuesday, June 07, 2022 08:00:00"
1654603200000,"METAF SBGL 071200Z  27006KT CAVOK 22/14 Q1013=
",SBGL,"Tuesday, June 07, 2022 09:00:00"
1654606800000,"METAF SBGL 071300Z  34001KT CAVOK 23/15 Q1013=
",SBGL,"Tuesday, June 07, 2022 10:00:00"
1654610400000,"METAF SBGL 071400Z 05003KT CAVOK 23/16 Q1016=
",SBGL,"Tuesday, June 07, 2022 11:00:00"
1654614000000,"METAF SBGL 071500Z 09003KT CAVOK 23/16 Q1012=
",SBGL,"Tuesday, June 07, 2022 12:00:00"
1654617600000,"METAF SBGL 071600Z  14004KT CAVOK 24/16 Q1012=
",SBGL,"Tuesday, June 07, 2022 01:00:00"
1654621200000,"METAF SBGL 071700Z  15006KT CAVOK 24/16 Q1012=
",SBGL,"Tuesday, June 07, 2022 02:00:00"
1654624800000,"METAF SBGL 071800Z  17008KT CAVOK 24/18 Q1011=
",SBGL,"Tuesday, June 07, 2022 03:00:00"
1654628400000,"METAF SBGL 071900Z  17008KT CAVOK 23/19 Q1012=
",SBGL,"Tuesday, June 07, 2022 04:00:00"
1654632000000,"METAF SBGL 072000Z  18006KT 6000       FEW018   23/20 Q1015=
",SBGL,"Tuesday, June 07, 2022 05:00:00"
1654635600000,"METAF SBGL 072100Z  18004KT 5000     BR BKN014   22/20 Q1014=
",SBGL,"Tuesday, June 07, 2022 06:00:00"
1654639200000,"METAF SBGL 072200Z  18003KT 4000     BR BKN011   22/20 Q1014=
",SBGL,"Tuesday, June 07, 2022 07:00:00"
1654642800000,"METAF SBGL 072300Z  24002KT 3000     BR BKN011   22/20 Q1015=
",SBGL,"Tuesday, June 07, 2022 08:00:00"
1654646400000,"METAF SBGL 080000Z  30005KT 5000     BR OVC015   22/19 Q1015=
",SBGL,"Tuesday, June 07, 2022 09:00:00"
1654650000000,"METAF SBGL 080100Z  33004KT 4000     BR OVC015   22/19 Q1015=
",SBGL,"Tuesday, June 07, 2022 10:00:00"
1654653600000,"METAF SBGL 080200Z  33005KT 5000     BR OVC017   22/19 Q1017=
",SBGL,"Tuesday, June 07, 2022 11:00:00"
1654657200000,"METAF SBGL 080300Z  32003KT 4000     BR OVC017   21/19 Q1015=
",SBGL,"Wednesday, June 08, 2022 12:00:00"
1654660800000,"METAF SBGL 080400Z 02001KT 4000     BR BKN018   21/19 Q1015=
",SBGL,"Wednesday, June 08, 2022 01:00:00"
1654664400000,"METAF SBGL 080500Z  17001KT 3000     BR BKN018   21/19 Q1015=
",SBGL,"Wednesday, June 08, 2022 02:00:00"
1654668000000,"METAF SBGL 080600Z  29003KT 3000     BR OVC019   20/18 Q1014=
",SBGL,"Wednesday, June 08, 2022 03:00:00"
1654671600000,"METAF SBGL 080700Z  31001KT 3000     BR OVC018   20/18 Q1015=
",SBGL,"Wednesday, June 08, 2022 04:00:00"
1654675200000,"METAF SBGL 080800Z  32003KT 3000     BR OVC020   20/18 Q1017=
",SBGL,"Wednesday, June 08, 2022 05:00:00"
1654678800000,"METAF SBGL 080900Z  32004KT 4000     BR OVC024   20/18 Q1016=
",SBGL,"Wednesday, June 08, 2022 06:00:00"
1654682400000,"METAF SBGL 081000Z  30003KT 5000     BR OVC019   20/18 Q1016=
",SBGL,"Wednesday, June 08, 2022 07:00:00"
1654686000000,"METAF SBGL 081100Z  32003KT 6000       OVC021   21/18 Q1018=
",SBGL,"Wednesday, June 08, 2022 08:00:00"
