hora,nova_cabeceira,antiga_cabeceira,aero,hora_formated
1654079956000,18,16L,RF,"Wednesday, June 01, 2022 07:39:16"
1654081494000,15,21,GL,"Wednesday, June 01, 2022 08:04:54"
1654083404000,17,10,SV,"Wednesday, June 01, 2022 08:36:44"
1654083583000,15,21,GL,"Wednesday, June 01, 2022 08:39:43"
1654085003000,03,32,FL,"Wednesday, June 01, 2022 09:03:23"
1654085042000,20L,02R,RJ,"Wednesday, June 01, 2022 09:04:02"
1654085604000,10,17,SV,"Wednesday, June 01, 2022 09:13:24"
1654085834000,32,03,FL,"Wednesday, June 01, 2022 09:17:14"
1654089520000,20L,21,RJ,"Wednesday, June 01, 2022 10:18:40"
1654089787000,18,16L,RF,"Wednesday, June 01, 2022 10:23:07"
1654089810000,21,32,FL,"Wednesday, June 01, 2022 10:23:30"
1654090388000,17,10,SV,"Wednesday, June 01, 2022 10:33:08"
1654090593000,10,17,SV,"Wednesday, June 01, 2022 10:36:33"
1654090730000,11,15,PA,"Wednesday, June 01, 2022 10:38:50"
1654091018000,15,30,GL,"Wednesday, June 01, 2022 10:43:38"
1654091163000,18,14,RF,"Wednesday, June 01, 2022 10:46:03"
1654091936000,11R,14,BR,"Wednesday, June 01, 2022 10:58:56"
1654092602000,03,21,FL,"Wednesday, June 01, 2022 11:10:02"
1654093124000,15,18,KP,"Wednesday, June 01, 2022 11:18:44"
1654094061000,03,32,FL,"Wednesday, June 01, 2022 11:34:21"
1654094311000,15,21,GL,"Wednesday, June 01, 2022 11:38:31"
1654094508000,17,14,SV,"Wednesday, June 01, 2022 11:41:48"
1654094658000,10,17,SV,"Wednesday, June 01, 2022 11:44:18"
1654094705000,21,03,FL,"Wednesday, June 01, 2022 11:45:05"
1654095009000,11R,07,BR,"Wednesday, June 01, 2022 11:50:09"
1654095385000,17,10,SV,"Wednesday, June 01, 2022 11:56:25"
1654095678000,10,17,SV,"Wednesday, June 01, 2022 12:01:18"
1654095705000,32,17,FL,"Wednesday, June 01, 2022 12:01:45"
1654096789000,17R,11R,SP,"Wednesday, June 01, 2022 12:19:49"
1654097103000,17,10,SV,"Wednesday, June 01, 2022 12:25:03"
1654098017000,10,17,SV,"Wednesday, June 01, 2022 12:40:17"
1654098666000,32,25,FL,"Wednesday, June 01, 2022 12:51:06"
1654099707000,17,10,SV,"Wednesday, June 01, 2022 01:08:27"
1654099931000,03,32,FL,"Wednesday, June 01, 2022 01:12:11"
1654099971000,09R,12,GR,"Wednesday, June 01, 2022 01:12:51"
1654100271000,33,15,KP,"Wednesday, June 01, 2022 01:17:51"
1654100496000,10,17,SV,"Wednesday, June 01, 2022 01:21:36"
1654100571000,17,10,SV,"Wednesday, June 01, 2022 01:22:51"
1654100712000,10,17,SV,"Wednesday, June 01, 2022 01:25:12"
1654101105000,32,03,FL,"Wednesday, June 01, 2022 01:31:45"
1654101744000,18,16L,RF,"Wednesday, June 01, 2022 01:42:24"
1654103082000,11,15,PA,"Wednesday, June 01, 2022 02:04:42"
1654103596000,17,10,SV,"Wednesday, June 01, 2022 02:13:16"
1654103634000,11R,13,BR,"Wednesday, June 01, 2022 02:13:54"
1654103816000,10,17,SV,"Wednesday, June 01, 2022 02:16:56"
1654103822000,16,13,CF,"Wednesday, June 01, 2022 02:17:02"
1654104097000,11,15,PA,"Wednesday, June 01, 2022 02:21:37"
1654104436000,18,12,RF,"Wednesday, June 01, 2022 02:27:16"
1654106547000,17,10,SV,"Wednesday, June 01, 2022 03:02:27"
1654106664000,32,11,FL,"Wednesday, June 01, 2022 03:04:24"
1654107611000,10,17,SV,"Wednesday, June 01, 2022 03:20:11"
1654108841000,17R,12,SP,"Wednesday, June 01, 2022 03:40:41"
1654092843000,32,03,FL,"Wednesday, June 01, 2022 11:14:03"
1654109470000,18,12,RF,"Wednesday, June 01, 2022 03:51:10"
1654110745000,16,13,CF,"Wednesday, June 01, 2022 04:12:25"
1654110758000,15,26,GL,"Wednesday, June 01, 2022 04:12:38"
1654110777000,15,26,GL,"Wednesday, June 01, 2022 04:12:57"
1654112774000,21,32,FL,"Wednesday, June 01, 2022 04:46:14"
1654113020000,32,21,FL,"Wednesday, June 01, 2022 04:50:20"
1654113022000,16,13,CF,"Wednesday, June 01, 2022 04:50:22"
1654113542000,17,10,SV,"Wednesday, June 01, 2022 04:59:02"
1654113548000,16,13,CF,"Wednesday, June 01, 2022 04:59:08"
1654113801000,10,17,SV,"Wednesday, June 01, 2022 05:03:21"
1654114186000,17,10,SV,"Wednesday, June 01, 2022 05:09:46"
1654114407000,14,32,FL,"Wednesday, June 01, 2022 05:13:27"
1654114538000,16,13,CF,"Wednesday, June 01, 2022 05:15:38"
1654117218000,15,21,GL,"Wednesday, June 01, 2022 06:00:18"
1654118442000,10,17,SV,"Wednesday, June 01, 2022 06:20:42"
1654119380000,17,10,SV,"Wednesday, June 01, 2022 06:36:20"
1654119856000,15,13,GL,"Wednesday, June 01, 2022 06:44:16"
1654119906000,10,17,SV,"Wednesday, June 01, 2022 06:45:06"
1654121731000,15,33,KP,"Wednesday, June 01, 2022 07:15:31"
1654128060000,17,10,SV,"Wednesday, June 01, 2022 09:01:00"
1654128534000,10,17,SV,"Wednesday, June 01, 2022 09:08:54"
1654128849000,17,10,SV,"Wednesday, June 01, 2022 09:14:09"
1654129558000,10,17,SV,"Wednesday, June 01, 2022 09:25:58"
1654131821000,32,14,FL,"Wednesday, June 01, 2022 10:03:41"
1654139790000,14,32,FL,"Thursday, June 02, 2022 12:16:30"
1654142301000,18,15,RF,"Thursday, June 02, 2022 12:58:21"
1654154272000,18,09R,RF,"Thursday, June 02, 2022 04:17:52"
1654154506000,09R,18,GR,"Thursday, June 02, 2022 04:21:46"
1654159328000,29,11,PA,"Thursday, June 02, 2022 05:42:08"
1654161875000,02R,20L,RJ,"Thursday, June 02, 2022 06:24:35"
1654162307000,35L,17R,SP,"Thursday, June 02, 2022 06:31:47"
1654043422000,10,17,SV,"Tuesday, May 31, 2022 09:30:22"
1654043869000,21,14,FL,"Tuesday, May 31, 2022 09:37:49"
1654044589000,14,21,FL,"Tuesday, May 31, 2022 09:49:49"
1654056274000,18,15,RF,"Wednesday, June 01, 2022 01:04:34"
1654075382000,02R,20L,RJ,"Wednesday, June 01, 2022 06:23:02"
1654075845000,02R,08,RJ,"Wednesday, June 01, 2022 06:30:45"
1654076864000,15,02R,GL,"Wednesday, June 01, 2022 06:47:44"
1654078891000,15,26,GL,"Wednesday, June 01, 2022 07:21:31"
1654079398000,32,14,FL,"Wednesday, June 01, 2022 07:29:58"
1654079940000,15,21,GL,"Wednesday, June 01, 2022 07:39:00"
1654079956000,18,16L,RF,"Wednesday, June 01, 2022 07:39:16"
1654081494000,15,21,GL,"Wednesday, June 01, 2022 08:04:54"
1654083404000,17,10,SV,"Wednesday, June 01, 2022 08:36:44"
1654083583000,15,21,GL,"Wednesday, June 01, 2022 08:39:43"
1654085003000,03,32,FL,"Wednesday, June 01, 2022 09:03:23"
1654085042000,20L,02R,RJ,"Wednesday, June 01, 2022 09:04:02"
1654085604000,10,17,SV,"Wednesday, June 01, 2022 09:13:24"
1654085834000,32,03,FL,"Wednesday, June 01, 2022 09:17:14"
1654089520000,20L,21,RJ,"Wednesday, June 01, 2022 10:18:40"
1654089787000,18,16L,RF,"Wednesday, June 01, 2022 10:23:07"
1654089810000,21,32,FL,"Wednesday, June 01, 2022 10:23:30"
1654090388000,17,10,SV,"Wednesday, June 01, 2022 10:33:08"
1654090593000,10,17,SV,"Wednesday, June 01, 2022 10:36:33"
1654090730000,11,15,PA,"Wednesday, June 01, 2022 10:38:50"
1654091018000,15,30,GL,"Wednesday, June 01, 2022 10:43:38"
1654091163000,18,14,RF,"Wednesday, June 01, 2022 10:46:03"
1654091936000,11R,14,BR,"Wednesday, June 01, 2022 10:58:56"
1654092602000,03,21,FL,"Wednesday, June 01, 2022 11:10:02"
1654164210000,17,10,SV,"Thursday, June 02, 2022 07:03:30"
1654166421000,33,15,CT,"Thursday, June 02, 2022 07:40:21"
1654166939000,10,17,SV,"Thursday, June 02, 2022 07:48:59"
1654167121000,15,08,GL,"Thursday, June 02, 2022 07:52:01"
1654093124000,15,18,KP,"Wednesday, June 01, 2022 11:18:44"
1654094061000,03,32,FL,"Wednesday, June 01, 2022 11:34:21"
1654176251000,17R,35L,SP,"Thursday, June 02, 2022 10:24:11"
1654094311000,15,21,GL,"Wednesday, June 01, 2022 11:38:31"
1654176390000,20L,02R,RJ,"Thursday, June 02, 2022 10:26:30"
1654176907000,17,10,SV,"Thursday, June 02, 2022 10:35:07"
1654094508000,17,14,SV,"Wednesday, June 01, 2022 11:41:48"
1654177202000,10,17,SV,"Thursday, June 02, 2022 10:40:02"
1654184426000,17,10,SV,"Thursday, June 02, 2022 12:40:26"
1654094658000,10,17,SV,"Wednesday, June 01, 2022 11:44:18"
1654094705000,21,03,FL,"Wednesday, June 01, 2022 11:45:05"
1654177904000,33,31,CT,"Thursday, June 02, 2022 10:51:44"
1654095009000,11R,07,BR,"Wednesday, June 01, 2022 11:50:09"
1654185207000,10,17,SV,"Thursday, June 02, 2022 12:53:27"
1654185459000,11R,32,BR,"Thursday, June 02, 2022 12:57:39"
1654185485000,15,16,GL,"Thursday, June 02, 2022 12:58:05"
1654178343000,33,15,KP,"Thursday, June 02, 2022 10:59:03"
1654178573000,17,10,SV,"Thursday, June 02, 2022 11:02:53"
1654186158000,27L,09R,GR,"Thursday, June 02, 2022 01:09:18"
1654186460000,35,10,SV,"Thursday, June 02, 2022 01:14:20"
1654095385000,17,10,SV,"Wednesday, June 01, 2022 11:56:25"
1654186641000,27L,11,GR,"Thursday, June 02, 2022 01:17:21"
1654186787000,20L,21,RJ,"Thursday, June 02, 2022 01:19:47"
1654186853000,11,29,PA,"Thursday, June 02, 2022 01:20:53"
1654179044000,10,17,SV,"Thursday, June 02, 2022 11:10:44"
1654179163000,34,16,CF,"Thursday, June 02, 2022 11:12:43"
1654179731000,21,14,FL,"Thursday, June 02, 2022 11:22:11"
1654186906000,27R,18,GR,"Thursday, June 02, 2022 01:21:46"
1654186964000,33,19,KP,"Thursday, June 02, 2022 01:22:44"
1654095678000,10,17,SV,"Wednesday, June 01, 2022 12:01:18"
1654187006000,10,35,SV,"Thursday, June 02, 2022 01:23:26"
1654187529000,17R,14,SP,"Thursday, June 02, 2022 01:32:09"
1654187867000,33,26,KP,"Thursday, June 02, 2022 01:37:47"
1654180134000,18,12,RF,"Thursday, June 02, 2022 11:28:54"
1654180383000,17,10,SV,"Thursday, June 02, 2022 11:33:03"
1654180488000,14,21,FL,"Thursday, June 02, 2022 11:34:48"
1654095705000,32,17,FL,"Wednesday, June 01, 2022 12:01:45"
1654096789000,17R,11R,SP,"Wednesday, June 01, 2022 12:19:49"
1654180903000,15,17,GL,"Thursday, June 02, 2022 11:41:43"
1654181036000,33,16,KP,"Thursday, June 02, 2022 11:43:56"
1654181148000,10,17,SV,"Thursday, June 02, 2022 11:45:48"
1654188333000,20L,21,RJ,"Thursday, June 02, 2022 01:45:33"
1654188553000,18,27R,RF,"Thursday, June 02, 2022 01:49:13"
1654188559000,15,21,GL,"Thursday, June 02, 2022 01:49:19"
1654181740000,16,31,CF,"Thursday, June 02, 2022 11:55:40"
1654189027000,14,17R,FL,"Thursday, June 02, 2022 01:57:07"
1654097103000,17,10,SV,"Wednesday, June 01, 2022 12:25:03"
1654189157000,34,09,CF,"Thursday, June 02, 2022 01:59:17"
1654098017000,10,17,SV,"Wednesday, June 01, 2022 12:40:17"
1654183340000,17,10,SV,"Thursday, June 02, 2022 12:22:20"
1654183399000,02R,20L,RJ,"Thursday, June 02, 2022 12:23:19"
1654190846000,17,10,SV,"Thursday, June 02, 2022 02:27:26"
1654183509000,10,17,SV,"Thursday, June 02, 2022 12:25:09"
1654183527000,20L,02R,RJ,"Thursday, June 02, 2022 12:25:27"
1654191068000,10,17,SV,"Thursday, June 02, 2022 02:31:08"
1654098666000,32,25,FL,"Wednesday, June 01, 2022 12:51:06"
1654192253000,15,26,GL,"Thursday, June 02, 2022 02:50:53"
1654183766000,15,33,CT,"Thursday, June 02, 2022 12:29:26"
1654183769000,33,18,KP,"Thursday, June 02, 2022 12:29:29"
1654183788000,33,16,KP,"Thursday, June 02, 2022 12:29:48"
1654099707000,17,10,SV,"Wednesday, June 01, 2022 01:08:27"
1654192931000,17,10,SV,"Thursday, June 02, 2022 03:02:11"
1654193175000,10,17,SV,"Thursday, June 02, 2022 03:06:15"
1654099931000,03,32,FL,"Wednesday, June 01, 2022 01:12:11"
1654193786000,17,10,SV,"Thursday, June 02, 2022 03:16:26"
1654194057000,20L,23,RJ,"Thursday, June 02, 2022 03:20:57"
1654099971000,09R,12,GR,"Wednesday, June 01, 2022 01:12:51"
1654194713000,10,17,SV,"Thursday, June 02, 2022 03:31:53"
1654100271000,33,15,KP,"Wednesday, June 01, 2022 01:17:51"
1654100496000,10,17,SV,"Wednesday, June 01, 2022 01:21:36"
1654100571000,17,10,SV,"Wednesday, June 01, 2022 01:22:51"
1654100712000,10,17,SV,"Wednesday, June 01, 2022 01:25:12"
1654195921000,15,33,KP,"Thursday, June 02, 2022 03:52:01"
1654101105000,32,03,FL,"Wednesday, June 01, 2022 01:31:45"
1654101744000,18,16L,RF,"Wednesday, June 01, 2022 01:42:24"
1654196677000,18,15,RF,"Thursday, June 02, 2022 04:04:37"
1654198023000,14,17L,FL,"Thursday, June 02, 2022 04:27:03"
1654198055000,17R,14,SP,"Thursday, June 02, 2022 04:27:35"
1654199080000,14,25,FL,"Thursday, June 02, 2022 04:44:40"
1654199508000,14,17R,FL,"Thursday, June 02, 2022 04:51:48"
1654199559000,17R,14,SP,"Thursday, June 02, 2022 04:52:39"
1654199627000,10,17,SV,"Thursday, June 02, 2022 04:53:47"
1654199737000,17,10,SV,"Thursday, June 02, 2022 04:55:37"
1654199863000,20L,21,RJ,"Thursday, June 02, 2022 04:57:43"
1654200088000,09R,27R,GR,"Thursday, June 02, 2022 05:01:28"
1654200323000,10,17,SV,"Thursday, June 02, 2022 05:05:23"
1654198096000,14,17R,FL,"Thursday, June 02, 2022 04:28:16"
1654198202000,17,10,SV,"Thursday, June 02, 2022 04:30:02"
1654198443000,17R,14,SP,"Thursday, June 02, 2022 04:34:03"
1654198516000,10,17,SV,"Thursday, June 02, 2022 04:35:16"
1654198665000,14,17R,FL,"Thursday, June 02, 2022 04:37:45"
1654198711000,17R,14,SP,"Thursday, June 02, 2022 04:38:31"
1654198785000,15,21,GL,"Thursday, June 02, 2022 04:39:45"
1654198811000,17,10,SV,"Thursday, June 02, 2022 04:40:11"
1654201492000,17,10,SV,"Thursday, June 02, 2022 05:24:52"
1654201542000,15,12,KP,"Thursday, June 02, 2022 05:25:42"
1654202265000,10,17,SV,"Thursday, June 02, 2022 05:37:45"
1654205568000,15,16,KP,"Thursday, June 02, 2022 06:32:48"
1654207357000,17,10,SV,"Thursday, June 02, 2022 07:02:37"
1654207800000,10,17,SV,"Thursday, June 02, 2022 07:10:00"
1654256763000,17,10,SV,"Friday, June 03, 2022 08:46:03"
1654257828000,20L,23,RJ,"Friday, June 03, 2022 09:03:48"
1654209500000,16,34,CF,"Thursday, June 02, 2022 07:38:20"
1654103082000,11,15,PA,"Wednesday, June 01, 2022 02:04:42"
1654209698000,15,16,KP,"Thursday, June 02, 2022 07:41:38"
1654210299000,17,10,SV,"Thursday, June 02, 2022 07:51:39"
1654210933000,10,17,SV,"Thursday, June 02, 2022 08:02:13"
1654212328000,17,10,SV,"Thursday, June 02, 2022 08:25:28"
1654214219000,10,17,SV,"Thursday, June 02, 2022 08:56:59"
1654259514000,10,17,SV,"Friday, June 03, 2022 09:31:54"
1654214764000,17,10,SV,"Thursday, June 02, 2022 09:06:04"
1654214808000,11R,14,BR,"Thursday, June 02, 2022 09:06:48"
1654103596000,17,10,SV,"Wednesday, June 01, 2022 02:13:16"
1654215779000,35L,17R,SP,"Thursday, June 02, 2022 09:22:59"
1654215996000,10,17,SV,"Thursday, June 02, 2022 09:26:36"
1654217058000,17,10,SV,"Thursday, June 02, 2022 09:44:18"
1654218270000,29,11,PA,"Thursday, June 02, 2022 10:04:30"
1654219129000,10,17,SV,"Thursday, June 02, 2022 10:18:49"
1654260346000,17,10,SV,"Friday, June 03, 2022 09:45:46"
1654260657000,10,17,SV,"Friday, June 03, 2022 09:50:57"
1654261364000,17R,23,SP,"Friday, June 03, 2022 10:02:44"
1654220297000,02R,20L,RJ,"Thursday, June 02, 2022 10:38:17"
1654103634000,11R,13,BR,"Wednesday, June 01, 2022 02:13:54"
1654225558000,17,10,SV,"Friday, June 03, 2022 12:05:58"
1654226200000,10,17,SV,"Friday, June 03, 2022 12:16:40"
1654261792000,17,10,SV,"Friday, June 03, 2022 10:09:52"
1654262251000,10,17,SV,"Friday, June 03, 2022 10:17:31"
1654262330000,17,10,SV,"Friday, June 03, 2022 10:18:50"
1654239428000,17,10,SV,"Friday, June 03, 2022 03:57:08"
1654103816000,10,17,SV,"Wednesday, June 01, 2022 02:16:56"
1654242760000,10,17,SV,"Friday, June 03, 2022 04:52:40"
1654245014000,17,10,SV,"Friday, June 03, 2022 05:30:14"
1654246746000,10,17,SV,"Friday, June 03, 2022 05:59:06"
1654246971000,17R,35L,SP,"Friday, June 03, 2022 06:02:51"
1654262933000,10,17,SV,"Friday, June 03, 2022 10:28:53"
1654263399000,17,10,SV,"Friday, June 03, 2022 10:36:39"
1654247619000,20L,02R,RJ,"Friday, June 03, 2022 06:13:39"
1654263671000,10,17,SV,"Friday, June 03, 2022 10:41:11"
1654249820000,15,26,GL,"Friday, June 03, 2022 06:50:20"
1654103822000,16,13,CF,"Wednesday, June 01, 2022 02:17:02"
1654249969000,15,26,GL,"Friday, June 03, 2022 06:52:49"
1654250833000,16,15,CF,"Friday, June 03, 2022 07:07:13"
1654250909000,15,16,KP,"Friday, June 03, 2022 07:08:29"
1654264290000,11L,14,BR,"Friday, June 03, 2022 10:51:30"
1654104097000,11,15,PA,"Wednesday, June 01, 2022 02:21:37"
1654251512000,11,29,PA,"Friday, June 03, 2022 07:18:32"
1654251643000,02R,20L,RJ,"Friday, June 03, 2022 07:20:43"
1654251719000,21,14,FL,"Friday, June 03, 2022 07:21:59"
1654251933000,15,17,GL,"Friday, June 03, 2022 07:25:33"
1654265084000,17,10,SV,"Friday, June 03, 2022 11:04:44"
1654265134000,21,14,FL,"Friday, June 03, 2022 11:05:34"
1654252328000,15,08,GL,"Friday, June 03, 2022 07:32:08"
1654104436000,18,12,RF,"Wednesday, June 01, 2022 02:27:16"
1654265556000,11R,06L,BR,"Friday, June 03, 2022 11:12:36"
1654265940000,10,17,SV,"Friday, June 03, 2022 11:19:00"
1654254812000,14,21,FL,"Friday, June 03, 2022 08:13:32"
1654106547000,17,10,SV,"Wednesday, June 01, 2022 03:02:27"
1654255400000,20L,02R,RJ,"Friday, June 03, 2022 08:23:20"
1654267158000,17,10,SV,"Friday, June 03, 2022 11:39:18"
1654267477000,10,17,SV,"Friday, June 03, 2022 11:44:37"
1654267624000,29,11,PA,"Friday, June 03, 2022 11:47:04"
1654267635000,14,21,FL,"Friday, June 03, 2022 11:47:15"
1654268071000,21,07,FL,"Friday, June 03, 2022 11:54:31"
1654268743000,21,14,FL,"Friday, June 03, 2022 12:05:43"
1654106664000,32,11,FL,"Wednesday, June 01, 2022 03:04:24"
1654268948000,17,10,SV,"Friday, June 03, 2022 12:09:08"
1654269082000,14,21,FL,"Friday, June 03, 2022 12:11:22"
1654107611000,10,17,SV,"Wednesday, June 01, 2022 03:20:11"
1654269516000,10,17,SV,"Friday, June 03, 2022 12:18:36"
1654270264000,15,13,KP,"Friday, June 03, 2022 12:31:04"
1654270301000,17,10,SV,"Friday, June 03, 2022 12:31:41"
1654272071000,17,10,SV,"Friday, June 03, 2022 01:01:11"
1654272611000,10,17,SV,"Friday, June 03, 2022 01:10:11"
1654108841000,17R,12,SP,"Wednesday, June 01, 2022 03:40:41"
1654273035000,17,10,SV,"Friday, June 03, 2022 01:17:15"
1654273161000,10,17,SV,"Friday, June 03, 2022 01:19:21"
1654273208000,21,14,FL,"Friday, June 03, 2022 01:20:08"
1654273772000,02R,20L,RJ,"Friday, June 03, 2022 01:29:32"
1654273776000,17,10,SV,"Friday, June 03, 2022 01:29:36"
1654274489000,11,29,PA,"Friday, June 03, 2022 01:41:29"
1654274956000,10,17,SV,"Friday, June 03, 2022 01:49:16"
1654275176000,29,11,PA,"Friday, June 03, 2022 01:52:56"
1654270836000,10,17,SV,"Friday, June 03, 2022 12:40:36"
1654271566000,15,23,GL,"Friday, June 03, 2022 12:52:46"
1654271670000,14,23,FL,"Friday, June 03, 2022 12:54:30"
1654286732000,11L,14,BR,"Friday, June 03, 2022 05:05:32"
1654286821000,10,17,SV,"Friday, June 03, 2022 05:07:01"
1654275250000,17,10,SV,"Friday, June 03, 2022 01:54:10"
1654275436000,10,17,SV,"Friday, June 03, 2022 01:57:16"
1654275489000,20L,02R,RJ,"Friday, June 03, 2022 01:58:09"
1654275884000,17,10,SV,"Friday, June 03, 2022 02:04:44"
1654287224000,17,10,SV,"Friday, June 03, 2022 05:13:44"
1654287415000,14,21,FL,"Friday, June 03, 2022 05:16:55"
1654287465000,15,18,KP,"Friday, June 03, 2022 05:17:45"
1654276047000,10,17,SV,"Friday, June 03, 2022 02:07:27"
1654287840000,10,17,SV,"Friday, June 03, 2022 05:24:00"
1654346149000,21,33,FL,"Saturday, June 04, 2022 09:35:49"
1654277166000,14,21,FL,"Friday, June 03, 2022 02:26:06"
1654278183000,17,10,SV,"Friday, June 03, 2022 02:43:03"
1654278291000,10,17,SV,"Friday, June 03, 2022 02:44:51"
1654346313000,20L,02R,RJ,"Saturday, June 04, 2022 09:38:33"
1654290129000,17,10,SV,"Friday, June 03, 2022 06:02:09"
1654346851000,20L,21,RJ,"Saturday, June 04, 2022 09:47:31"
1654290822000,10,17,SV,"Friday, June 03, 2022 06:13:42"
1654291325000,17,10,SV,"Friday, June 03, 2022 06:22:05"
1654278820000,17,10,SV,"Friday, June 03, 2022 02:53:40"
1654279687000,36,18,RF,"Friday, June 03, 2022 03:08:07"
1654292451000,10,17,SV,"Friday, June 03, 2022 06:40:51"
1654347958000,15,21,KP,"Saturday, June 04, 2022 10:05:58"
1654294410000,17,10,SV,"Friday, June 03, 2022 07:13:30"
1654294600000,10,17,SV,"Friday, June 03, 2022 07:16:40"
1654295111000,17,10,SV,"Friday, June 03, 2022 07:25:11"
1654295855000,10,17,SV,"Friday, June 03, 2022 07:37:35"
1654280376000,10,17,SV,"Friday, June 03, 2022 03:19:36"
1654298453000,18,36,RF,"Friday, June 03, 2022 08:20:53"
1654298716000,20L,17R,RJ,"Friday, June 03, 2022 08:25:16"
1654298822000,17R,20L,SP,"Friday, June 03, 2022 08:27:02"
1654281847000,29,24,PA,"Friday, June 03, 2022 03:44:07"
1654299184000,17,10,SV,"Friday, June 03, 2022 08:33:04"
1654351107000,03,32,FL,"Saturday, June 04, 2022 10:58:27"
1654299386000,20L,18,RJ,"Friday, June 03, 2022 08:36:26"
1654301733000,10,17,SV,"Friday, June 03, 2022 09:15:33"
1654303544000,17,10,SV,"Friday, June 03, 2022 09:45:44"
1654303974000,11L,14,BR,"Friday, June 03, 2022 09:52:54"
1654304591000,15,18,KP,"Friday, June 03, 2022 10:03:11"
1654304745000,10,17,SV,"Friday, June 03, 2022 10:05:45"
1654312308000,17,10,SV,"Saturday, June 04, 2022 12:11:48"
1654315066000,18,15,RF,"Saturday, June 04, 2022 12:57:46"
1654315494000,10,17,SV,"Saturday, June 04, 2022 01:04:54"
1654334601000,32,14,FL,"Saturday, June 04, 2022 06:23:21"
1654336725000,17,10,SV,"Saturday, June 04, 2022 06:58:45"
1654282151000,17,10,SV,"Friday, June 03, 2022 03:49:11"
1654282584000,29,24,PA,"Friday, June 03, 2022 03:56:24"
1654282774000,15,36,KP,"Friday, June 03, 2022 03:59:34"
1654283024000,17R,16,SP,"Friday, June 03, 2022 04:03:44"
1654283630000,10,17,SV,"Friday, June 03, 2022 04:13:50"
1654283838000,17,10,SV,"Friday, June 03, 2022 04:17:18"
1654283945000,10,17,SV,"Friday, June 03, 2022 04:19:05"
1654283979000,21,07,FL,"Friday, June 03, 2022 04:19:39"
1654284232000,16,20,CF,"Friday, June 03, 2022 04:23:52"
1654284759000,15,17R,GL,"Friday, June 03, 2022 04:32:39"
1654285024000,11,29,PA,"Friday, June 03, 2022 04:37:04"
1654285071000,17R,12,SP,"Friday, June 03, 2022 04:37:51"
1654285407000,21,14,FL,"Friday, June 03, 2022 04:43:27"
1654285831000,17,10,SV,"Friday, June 03, 2022 04:50:31"
1654338566000,02R,20L,RJ,"Saturday, June 04, 2022 07:29:26"
1654338954000,03,32,FL,"Saturday, June 04, 2022 07:35:54"
1654339840000,10,17,SV,"Saturday, June 04, 2022 07:50:40"
1654340486000,15,24,KP,"Saturday, June 04, 2022 08:01:26"
1654340778000,32,03,FL,"Saturday, June 04, 2022 08:06:18"
1654341989000,21,32,FL,"Saturday, June 04, 2022 08:26:29"
1654342306000,32,21,FL,"Saturday, June 04, 2022 08:31:46"
1654342977000,15,14,KP,"Saturday, June 04, 2022 08:42:57"
1654361449000,14,32,FL,"Saturday, June 04, 2022 01:50:49"
1654361856000,17,10,SV,"Saturday, June 04, 2022 01:57:36"
1654361992000,10,17,SV,"Saturday, June 04, 2022 01:59:52"
1654364310000,17,10,SV,"Saturday, June 04, 2022 02:38:30"
1654364645000,03,14,FL,"Saturday, June 04, 2022 02:44:05"
